Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price
Toyota,Prius,2011,Hatchback,195000,1800,Hybrid,Automatic,7750
Renault,Grand Scenic,2014,Universal,135000,1500,Diesel,Manual,8550
Volkswagen,Golf,1998,Hatchback,1,1400,Petrol,Manual,2200
Renault,Laguna,2012,Universal,110000,1500,Diesel,Manual,6550
Opel,Astra,2006,Universal,200000,1600,Metan/Propan,Manual,4100
Mercedes,Vito,2000,Microvan,300000,2200,Diesel,Manual,3490
Volkswagen,Passat,2010,Universal,290000,1390,Petrol,Manual,5600
Volkswagen,Touareg,2010,SUV,220000,2400,Diesel,Automatic,17000
Mercedes,Series (W124),1991,Sedan,240000,2300,Petrol,Manual,2850
BMW,5 Series,2004,Sedan,325000,300,Diesel,Manual,3400
Mercedes,E Class,2010,Sedan,210000,2200,Diesel,Automatic,11400
Mercedes,CLS Class,2006,Coupe,300000,3200,Diesel,Automatic,11800
KIA,Rio,2005,Universal,23,1300,Petrol,Manual,1550
BMW,7 Series,1998,Sedan,285000,3500,Petrol,Manual,3990
Volkswagen,Golf,2007,Universal,238371,1400,Petrol,Automatic,5000
Volkswagen,Golf Plus,2010,Hatchback,150000,1200,Petrol,Manual,5500
Volvo,XC60,2012,Crossover,180000,2400,Diesel,Automatic,15900
Nissan,Qashqai,2011,Crossover,251000,1500,Diesel,Manual,8300
Hyundai,Matrix,2005,Universal,383000,1500,Diesel,Manual,3200
Audi,A3,2009,Hatchback,248000,2000,Diesel,Automatic,9299
Mercedes,E Class,2004,Universal,315000,1800,Metan/Propan,Manual,6900
GAZ,31029,1992,Sedan,68000,2445,Petrol,Manual,2222
Renault,Megane,2011,Universal,171000,1500,Diesel,Manual,5700
Tesla,Model S,2013,Hatchback,113000,367,Electric,Automatic,27000
Mercedes,E Class,2014,Sedan,275500,2200,Diesel,Automatic,18350
Lincoln,MKZ,2017,Sedan,157000,1998,Hybrid,Automatic,17800
Lexus,NX Series,2017,Crossover,76000,1998,Petrol,Automatic,27999
Dodge,Caliber,2008,Hatchback,113486,1998,Metan/Propan,Automatic,4495
Mercedes,A Class,2000,Hatchback,1,1400,Petrol,Manual,2100
Audi,100,1993,Sedan,235000,2000,Petrol,Manual,2950
Porsche,Cayenne,2012,Crossover,253444,3000,Diesel,Automatic,30222
Lexus,RX Series,2009,SUV,250000,3500,Hybrid,Automatic,17990
Volkswagen,Passat,2012,Sedan,179000,1400,Metan/Propan,Automatic,9800
BMW,X1,2015,Crossover,169777,2000,Diesel,Automatic,16888
Mercedes,GLC Coupe,2017,Crossover,71333,2500,Diesel,Automatic,43404
Opel,Vectra,1994,Sedan,340000,1800,Petrol,Manual,1500
BMW,7 Series,2007,Sedan,300000,3000,Diesel,Automatic,11500
Mercedes,E Class,2013,Universal,300,2200,Diesel,Automatic,11000
Volkswagen,Touran,2004,Minivan,280000,200,Diesel,Automatic,5300
Toyota,Carina,1996,Sedan,0,1800,Petrol,Manual,1800
Volkswagen,Passat,2010,Universal,228000,1400,Metan/Propan,Automatic,5700
Toyota,Auris,2010,Sedan,185000,1400,Diesel,Manual,6500
Nissan,Qashqai,2009,Hatchback,200415,1500,Diesel,Manual,6200
BMW,3 Series,2016,Minivan,136000,2000,Diesel,Automatic,13200
BMW,5 Series,2003,Sedan,250000,3000,Petrol,Automatic,7490
Mazda,929,1988,Sedan,345,3000,Metan/Propan,Manual,2100
Dacia,Logan,2014,Sedan,195000,1200,Metan/Propan,Manual,3999
Dacia,Duster,2015,SUV,170000,1500,Diesel,Manual,8800
Volkswagen,Golf,2010,Universal,191500,1400,Petrol,Manual,5700
Mercedes,Vito,1999,Minivan,1,2300,Diesel,Manual,4150
Volkswagen,Touran,2013,Minivan,1,1200,Petrol,Manual,7599
Volkswagen,Passat,1991,Sedan,292000,1800,Petrol,Manual,1150
BMW,3 Series,2004,Sedan,250000,2000,Diesel,Manual,4499
Nissan,Qashqai,2015,Crossover,158000,1500,Diesel,Manual,11750
Peugeot,3008,2018,Crossover,132000,1500,Diesel,Automatic,16500
Vaz,2103,1990,Sedan,9999999,1300,Petrol,Manual,3500
BMW,X5,2005,SUV,260500,3000,Petrol,Automatic,8999
Renault,Megane,2005,Universal,11111,1500,Diesel,Manual,3200
Nissan,Qashqai,2013,SUV,180000,1500,Diesel,Manual,8999
Ford,Transit Connect,2012,Minivan,151658,1800,Diesel,Manual,3899
Renault,Scenic,2015,Microvan,185480,1461,Diesel,Manual,7550
BMW,7 Series,2009,Sedan,215210,3000,Diesel,Automatic,16500
Volkswagen,Polo,2007,Hatchback,305988,1400,Diesel,Manual,3250
BMW,5 Series,2014,Sedan,231250,2000,Diesel,Automatic,18000
Vaz,2121niva,2004,Minivan,12000,1700,Petrol,Manual,1800
BMW,5 Series,1998,Sedan,11111,2500,Petrol,Manual,3200
Nissan,Pulsar,2014,Hatchback,87100,1200,Petrol,Manual,7950
Toyota,Avensis,2000,Sedan,420000,1600,Metan/Propan,Manual,2999
Seat,Alhambra,2002,Minivan,2,2000,Petrol,Manual,4299
Honda,CR-V,2002,Universal,275100,2000,Petrol,Manual,5900
BMW,5 Series,2015,Sedan,180236,2000,Diesel,Automatic,21500
Honda,CR-V,2010,Crossover,183000,2200,Diesel,Manual,12999
Nissan,Note,2011,Hatchback,195000,1500,Diesel,Manual,5250
